==== This output can be found in Systems/dx986/os/lscfg.txt ====
==== START lscfg Tue Jul  7 00:45:13 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* hdisk691         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L11000000000000  EMC Symmetrix FCP VRAID
* hdisk692         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L12000000000000  EMC Symmetrix FCP VRAID
* hdisk693         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L13000000000000  EMC Symmetrix FCP VRAID
* hdisk694         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L14000000000000  EMC Symmetrix FCP VRAID
* hdisk695         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L15000000000000  EMC Symmetrix FCP VRAID
* hdisk696         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L16000000000000  EMC Symmetrix FCP VRAID
* hdisk697         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L17000000000000  EMC Symmetrix FCP VRAID
* hdisk698         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L18000000000000  EMC Symmetrix FCP VRAID
* hdisk699         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L19000000000000  EMC Symmetrix FCP VRAID
* hdisk700         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L1A000000000000  EMC Symmetrix FCP VRAID
* hdisk701         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L1B000000000000  EMC Symmetrix FCP VRAID
* hdisk702         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L1C000000000000  EMC Symmetrix FCP VRAID
* hdisk703         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L1D000000000000  EMC Symmetrix FCP VRAID
* hdisk704         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L1E000000000000  EMC Symmetrix FCP VRAID
* hdisk705         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L1F000000000000  EMC Symmetrix FCP VRAID
* hdisk706         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L20000000000000  EMC Symmetrix FCP VRAID
* hdisk707         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L21000000000000  EMC Symmetrix FCP VRAID
* hdisk708         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L22000000000000  EMC Symmetrix FCP VRAID
* hdisk709         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L23000000000000  EMC Symmetrix FCP VRAID
* hdisk780         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L24000000000000  EMC Symmetrix FCP VRAID
* hdisk781         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L25000000000000  EMC Symmetrix FCP VRAID
* hdisk782         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L26000000000000  EMC Symmetrix FCP VRAID
* hdisk783         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L27000000000000  EMC Symmetrix FCP VRAID
* hdisk784         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L28000000000000  EMC Symmetrix FCP VRAID
* hdisk785         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L29000000000000  EMC Symmetrix FCP VRAID
* hdisk786         U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L30000000000000  EMC Symmetrix FCP VRAID
