==== This output can be found in Systems/dx986/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:45:13 GST 2015 ====

System configuration: lcpu=32 drives=710 ent=3.60 paths=0 vdisks=10 maxserver=960

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
     16.4  0.0   177     0    131072            11.9   4.7   80.2      3.2   0.9   25.3

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk580         0.0       0.0       0.0      65831         0
hdisk469         0.0       0.0       0.0          4         0
hdisk585         0.0       0.0       0.0          4         0
hdisk588         0.0       0.0       0.0          4         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk584         0.0       0.0       0.0          4         0
hdisk589         0.0       0.0       0.0          4         0
hdisk587         0.0       0.0       0.0          4         0
hdisk464         0.0       0.0       0.0         12         0
hdisk586         0.0       0.0       0.0          4     18148
hdisk583         0.0       0.0       0.0          4         0
hdisk11          0.0       0.1       0.0     401990    170191
hdisk582         0.0       0.0       0.0          4         0
hdisk210         0.0       0.1       0.0    1030045     73940
hdisk211         0.0       0.2       0.0    1037176     70932
hdisk212         0.0       0.1       0.0    1030548     75064
hdisk213         0.0       0.2       0.0    1032052     84528
hdisk214         0.0       0.2       0.0    1406228    195024
hdisk215         0.0       0.2       0.0    1385672    177352
hdisk471         0.0       0.0       0.0          4         0
hdisk473         0.0       0.0       0.0         20         0
hdisk478         0.0       0.0       0.0         28         0
hdisk476         0.0       0.0       0.0        152         0
hdisk474         0.0       0.0       0.0          4         0
hdisk472         0.0       0.0       0.0         12         0
hdisk470         0.0       0.0       0.0        483         0
hdisk485         0.0       0.0       0.0          4         0
hdisk479         0.0       0.0       0.0         72         0
hdisk484         0.0       0.0       0.0          4         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk475         0.0       0.0       0.0          8     18060
hdisk481         0.0       0.0       0.0          4         0
hdisk487         0.0       0.0       0.0          4         0
hdisk482         0.0       0.0       0.0         12         0
hdisk590         0.0       0.0       0.0        311         0
hdisk486         0.0       0.0       0.0          4         0
hdisk483         0.0       0.0       0.0          4         0
hdisk594         0.0       0.0       0.0          4         0
hdisk480         0.0       0.0       0.0        136         0
