==== This output can be found in Systems/dx979/os/lsdev-^C.txt ====
==== START lsdev -C Tue Jul  7 00:29:34 GST 2015 ====
hdisk259       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk260       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk261       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk262       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk263       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk264       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk265       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk266       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk267       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk268       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk269       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk270       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk271       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk272       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk273       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk274       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk275       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk276       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk277       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk278       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk279       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk280       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk281       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk282       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk283       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk284       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk285       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk286       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk287       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk288       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk289       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk290       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk291       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk292       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk293       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk294       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk295       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk296       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk297       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk298       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk299       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk300       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk301       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk302       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk303       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk304       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk305       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk306       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk307       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk308       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk309       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk310       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk311       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk312       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk313       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk314       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk315       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk316       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk317       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk318       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk319       Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk320       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk321       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk322       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk323       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk324       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk325       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk326       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk327       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk328       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk329       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk330       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk331       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk332       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk333       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk334       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk335       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk336       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk337       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk338       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk339       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk340       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk341       Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk342       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk343       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk344       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk345       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk346       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk347       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk348       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk349       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk350       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk351       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk352       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk353       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk354       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk355       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk356       Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk357       Available 24-T1-01    EMC Symmetrix FCP VRAID
