==== This output can be found in Systems/dx979/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:29:24 GST 2015 ====

System configuration: lcpu=48 drives=524 ent=6.00 paths=0 vdisks=10 maxserver=1440

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
      4.7  0.0   469     0    131072             2.3   1.0   94.4      2.3   0.3    5.1

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk210         0.2      58.8       0.1   482533794  160570128
hdisk226         2.0     282.4       0.7   3076052176  12548604
hdisk227         2.1     315.6       0.8   3439844406  12786756
hdisk2           0.0       0.0       0.0        881         0
hdisk225         2.1     320.8       0.8   3496045862  12593292
hdisk229         2.0     291.1       0.8   3171085837  12870208
hdisk231         2.3     424.1       0.9   4625705237  13401520
hdisk233         2.0     309.2       0.7   3369176392  12562028
hdisk220         2.2     377.5       0.8   4118116638  11616352
hdisk235         1.4      21.3       1.2   133754559  98832728
hdisk236         1.3      21.1       1.2   134732356  95909876
hdisk230         2.2     374.6       0.8   4084711249  12456020
hdisk237         1.3      21.2       1.2   133898171  97979944
hdisk238         1.3      21.3       1.2   134944738  98220988
hdisk239         1.3      21.2       1.2   133917183  97665000
hdisk241         0.2      58.6       0.1   480645724  160614324

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk240         0.2      58.6       0.1   480853555  159695424
hdisk242         0.2      58.7       0.1   481255181  160742676
hdisk243         0.2      59.0       0.1   483999332  161270852
hdisk232         2.4     468.1       0.9   5108085575  12698284
hdisk244         0.2      59.0       0.1   483794558  161268576
hdisk245         0.2      58.7       0.1   481713989  160414432
hdisk248         0.0       0.0       0.0      49850         4
hdisk250         0.2      20.4       0.2   110221033  112637628
hdisk246         0.0       0.4       0.1     225547   3656260
hdisk234         1.3      21.1       1.2   133595807  96918936
hdisk251         0.2      20.5       0.2   110876409  112827136
hdisk228         2.2     348.7       0.8   3801835246  12612168
hdisk249         0.0       0.0       0.0       1304     15048
hdisk378         0.0       0.0       0.0        785         0
hdisk376         0.0       2.0       0.0   10911313  11250396
hdisk247         0.0       0.3       0.0     150801   3166796
hdisk383         0.0       0.0       0.0       1305     15240
hdisk384         0.0       0.0       0.0       1298         0
hdisk379         0.0       0.0       0.0       1301         0
hdisk385         0.0       0.0       0.0        786         0
hdisk380         0.0       0.0       0.0       1301         0
hdisk432         0.1       2.7       0.1   23214410   6374924
hdisk433         0.0       1.1       0.0   11722079    459216
hdisk377         0.0       0.0       0.0     102835         4

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk435         0.7      97.4       1.6   579393521  485865741
hdisk431         0.0       1.1       0.0   12183205    133216
hdisk436         0.7      97.4       1.6   581218363  484364056
hdisk381         0.0       0.0       0.0       1303         0
hdisk375         0.0       2.0       0.0   10698827  11027236
hdisk437         0.7      97.7       1.6   584597755  484163168
hdisk382         0.0       0.0       0.0        788         0
hdisk454         0.0       0.0       0.0         52         0
hdisk441         0.8      96.4       1.6   578275499  475672271
hdisk438         0.8      96.4       1.6   576290635  477652061
hdisk434         0.7      97.7       1.6   582650745  486496586
hdisk439         0.8      95.9       1.6   572546639  476402345
hdisk455         0.0       0.0       0.0         26         0
hdisk440         0.8      96.0       1.6   574295080  475709158
hdisk32          0.1       0.1       0.0     987074    148014
hdisk30          0.2       1.2       0.1     117011  12911064
hdisk31          0.0       0.0       0.0        776         0
hdisk33          0.0       0.2       0.0    1230525    578432
hdisk252         2.1     301.9       0.7   3289654938  12201340
hdisk253         2.1     315.0       0.7   3433231171  12231620
hdisk34          0.0       8.3       0.0   91169175         8
hdisk35          0.0       8.3       0.0   90756511     15280
hdisk254         2.2     376.7       0.8   4109338710  11605848
hdisk260         2.0     280.5       0.7   3056217158  12538436

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk256         2.4     558.0       1.0   6091416197  12060952
hdisk255         2.0     289.6       0.7   3155193683  12076124
hdisk258         1.9     253.5       0.7   2760698286  12234044
hdisk257         2.1     339.2       0.8   3697910385  11886864
hdisk265         2.3     422.0       0.8   4602759761  13272380
hdisk262         2.2     347.9       0.8   3792766059  12697796
hdisk259         2.1     318.8       0.8   3474597435  12619568
hdisk261         2.1     315.0       0.8   3433124263  12638448
hdisk268         1.3      20.9       1.2   132644826  96469612
hdisk266         2.4     466.8       0.9   5093671025  12569336
hdisk271         1.3      21.0       1.2   132537874  97440652
hdisk269         1.4      21.1       1.2   132706942  98283688
hdisk264         2.2     372.3       0.8   4060078524  12564464
hdisk275         0.2      57.9       0.1   473849090  159824832
hdisk274         0.2      58.0       0.1   474251960  159852720
hdisk273         1.3      21.0       1.2   132489665  97018468
hdisk277         0.2      58.3       0.1   476858473  160354656
hdisk280         0.0       0.4       0.1     263684   3651408
hdisk263         2.0     289.7       0.8   3156340360  12389244
hdisk272         1.4      21.2       1.2   134135400  97629772
hdisk282         0.0       0.0       0.0     105141         8
hdisk270         1.3      21.0       1.2   133662044  95606204
hdisk386         0.0       2.0       0.0   10705782  10904196
hdisk267         2.0     307.4       0.7   3349981328  12450744

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk279         0.2      58.0       0.1   474609057  160272828
hdisk283         0.0       0.0       0.0       1320     15068
hdisk281         0.0       0.3       0.0     153739   3151864
hdisk276         0.2      58.0       0.1   474338947  160100524
hdisk390         0.0       0.0       0.0       1328         0
hdisk278         0.2      58.2       0.1   477441048  159694444
hdisk396         0.0       0.0       0.0       1811         0
hdisk394         0.0       0.0       0.0       1330     14940
hdisk393         0.0       0.0       0.0       1813         0
hdisk443         0.1       2.7       0.1   23103133   6341376
hdisk387         0.0       2.0       0.0   10842994  11201704
hdisk284         0.2      20.2       0.2   109554117  111715648
hdisk444         0.0       1.1       0.0   11458122    455228
hdisk391         0.0       0.0       0.0       1321         0
hdisk388         0.0       0.0       0.0     175054         4
hdisk9           0.0       0.0       0.0        776         0
hdisk285         0.2      20.3       0.2   109556988  112078572
hdisk392         0.0       0.0       0.0       1323         0
hdisk10          0.1       0.1       0.0     747961    144481
hdisk23          0.0       7.9       0.0   86539391     14872
hdisk15          0.0       0.2       0.0    1281405    574720
hdisk22          0.0       7.9       0.0   86637908        12
hdisk286         2.0     301.1       0.7   3281454636  12090780
hdisk287         2.1     314.9       0.7   3432475178  12093260

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk389         0.0       0.0       0.0       1805         0
hdisk7           0.3       1.2       0.1      76557  12697220
hdisk295         2.1     315.1       0.8   3433838567  12704648
hdisk294         2.0     280.5       0.7   3055129783  12600772
hdisk442         0.0       1.1       0.0   11952533    131364
hdisk298         2.2     372.5       0.8   4062185917  12368204
hdisk300         2.4     466.7       0.9   5092293682  12611516
hdisk302         1.3      20.9       1.2   132121831  96389244
hdisk395         0.0       0.0       0.0       1323         0
hdisk291         2.1     338.8       0.8   3694062375  11859120
hdisk293         2.1     319.3       0.8   3480347493  12611928
hdisk304         1.3      20.9       1.2   133531541  95415444
hdisk289         2.0     290.3       0.7   3163396175  12137896
hdisk305         1.3      21.0       1.2   132360126  97232556
hdisk292         1.9     253.9       0.7   2765809429  11890896
hdisk303         1.4      21.0       1.2   131671892  98101916
hdisk306         1.4      21.1       1.2   133738647  97484728
hdisk307         1.3      21.0       1.2   132589430  96720240
hdisk288         2.2     375.9       0.8   4100092430  11518388
hdisk290         2.4     559.0       1.0   6102986630  12038220
hdisk309         0.2      57.9       0.1   474233692  159130708
hdisk297         2.1     290.3       0.8   3163083255  12634396
hdisk296         2.2     347.5       0.8   3788397379  12660520
hdisk312         0.2      58.2       0.1   477090764  159809364

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk301         2.0     307.1       0.7   3346937969  12513216
hdisk308         0.2      58.0       0.1   474074995  160110736
hdisk299         2.3     423.6       0.8   4620064628  13200160
hdisk315         0.0       0.3       0.0     146369   3144068
hdisk398         0.0       2.0       0.0   10835929  11206616
hdisk317         0.0       0.0       0.0        904     15280
hdisk313         0.2      58.0       0.1   475450991  159492796
hdisk314         0.0       0.3       0.1     184392   3640100
hdisk397         0.0       2.0       0.0   10585203  10968500
hdisk401         0.0       0.0       0.0        811         0
hdisk311         0.2      58.2       0.1   476989260  159417892
hdisk400         0.0       0.0       0.0        841         0
hdisk404         0.0       0.0       0.0        840         0
hdisk318         0.2      20.1       0.2   108962369  111379068
hdisk402         0.0       0.0       0.0        906         0
hdisk319         0.2      20.2       0.2   109379001  111634624
hdisk316         0.0       0.0       0.0      28306         8
hdisk407         0.0       0.0       0.0        838         0
hdisk403         0.0       0.0       0.0        903         0
hdisk399         0.0       0.0       0.0      48664         8
hdisk405         0.0       0.0       0.0        918     15180
hdisk406         0.0       0.0       0.0        911         0
hdisk310         0.2      58.1       0.1   475514093  159918352
hdisk445         0.0       1.1       0.0   11944547    128592

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk446         0.1       2.7       0.1   22990432   6314320
hdisk447         0.0       1.1       0.0   11529892    454392
hdiskpower0      0.0       0.0       0.0        777         0
hdiskpower1      0.5       0.7       0.2    6417691   1175064
hdiskpower2      1.7       9.4       1.0     562508  102765800
hdiskpower3      0.1       1.3       0.1    9906861   4618516
hdiskpower4      0.2      65.4       0.1   715590853        48
hdiskpower5      0.2      65.3       0.2   714216139    121360
hdiskpower6      3.3     2421.3       5.8   26387538025  97676696
hdiskpower7      3.3     2528.7       6.0   27562188571  97469556
hdiskpower8      3.3     3022.6       6.4   32969732231  92806952
hdiskpower9      3.3     2328.8       5.7   25376481699  96553836
hdiskpower10     3.4     4481.8       8.1   48927705495  96261660
hdiskpower11     3.3     2722.3       6.1   29682522695  94838224
hdiskpower12     3.3     2040.4       5.6   22222246027  96697788
hdiskpower13     3.4     2564.5       6.2   27950938055  101165892
hdiskpower14     3.4     2255.5       5.8   24571072075  100823180
hdiskpower15     3.3     2528.5       6.0   27555910979  101906444
hdiskpower16     3.3     2791.6       6.5   30434253367  101417676
hdiskpower17     3.3     2328.5       6.2   25369647839  100962684
hdiskpower18     3.4     2993.7       6.6   32646742399  99799164
hdiskpower19     3.5     3397.2       6.8   37053695295  106187900
hdiskpower20     3.4     3747.1       7.2   40886251275  101314948
hdiskpower21     3.3     2468.5       5.9   26901585787  99928680

