==== This output can be found in Systems/dx975/os/lscfg.txt ====
==== START lscfg Tue Jul  7 12:46:25 CDT 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                           System Object
+ sysplanar0                                                                     System Planar
* vio0                                                                           Virtual I/O Bus
* hdisk132         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-L5000000000000   EMC Symmetrix FCP VRAID
* hdisk133         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-L6000000000000   EMC Symmetrix FCP VRAID
* hdisk134         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-L7000000000000   EMC Symmetrix FCP VRAID
* hdisk135         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-L8000000000000   EMC Symmetrix FCP VRAID
* hdisk136         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-L9000000000000   EMC Symmetrix FCP VRAID
* hdisk137         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-LA000000000000   EMC Symmetrix FCP VRAID
* hdisk138         U2C4E.001.DBJ0043-P2-C1-T1-W500009740834D528-LB000000000000   EMC Symmetrix FCP VRAID
* sfwcomm6         U2C4E.001.DBJ0043-P2-C1-T1-W0-L0                              Fibre Channel Storage Framework Comm
+ fcs7             U2C4E.001.DBJ0043-P2-C1-T2                                    PCIe2 4-Port 8Gb FC Adapter (df1000f114100104)
* fcnet5           U2C4E.001.DBJ0043-P2-C1-T2                                    Fibre Channel Network Protocol Device
+ fscsi7           U2C4E.001.DBJ0043-P2-C1-T2                                    FC SCSI I/O Controller Protocol Device
* hdisk139         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-L0               EMC Symmetrix FCP VRAID
* hdisk140         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk141         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-L2000000000000   EMC Symmetrix FCP VRAID
* hdisk142         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-L3000000000000   EMC Symmetrix FCP VRAID
* hdisk143         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-L4000000000000   EMC Symmetrix FCP VRAID
* hdisk144         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-L5000000000000   EMC Symmetrix FCP VRAID
* hdisk145         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-L6000000000000   EMC Symmetrix FCP VRAID
* hdisk146         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-L7000000000000   EMC Symmetrix FCP VRAID
* hdisk147         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-L8000000000000   EMC Symmetrix FCP VRAID
* hdisk148         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-L9000000000000   EMC Symmetrix FCP VRAID
* hdisk149         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-LA000000000000   EMC Symmetrix FCP VRAID
* hdisk150         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D514-LB000000000000   EMC Symmetrix FCP VRAID
* hdisk151         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D56C-L0               EMC Symmetrix FCP VRAID
* hdisk152         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D56C-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk153         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D56C-L2000000000000   EMC Symmetrix FCP VRAID
* hdisk154         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D56C-L3000000000000   EMC Symmetrix FCP VRAID
* hdisk155         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D56C-L4000000000000   EMC Symmetrix FCP VRAID
* hdisk156         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D56C-L5000000000000   EMC Symmetrix FCP VRAID
* hdisk157         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D56C-L6000000000000   EMC Symmetrix FCP VRAID
* hdisk158         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D56C-L7000000000000   EMC Symmetrix FCP VRAID
* hdisk159         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D56C-L8000000000000   EMC Symmetrix FCP VRAID
* hdisk160         U2C4E.001.DBJ0043-P2-C1-T2-W500009740834D56C-L9000000000000   EMC Symmetrix FCP VRAID
