==== This output can be found in Systems/dx977/os/errpt-d_H-^T_PERM.txt ====
==== START errpt -d H -T PERM Tue Jul  7 00:10:21 GST 2015 ====
516A2BC4   0508035115 P H hdisk123       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk122       CONNECTION FAILURE
C62E1EB7   0508035115 P H hdisk164       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk125       DISK OPERATION ERROR
C62E1EB7   0508035115 P H hdisk104       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk129       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk727       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk413       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk723       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk666       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk728       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk415       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk332       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk402       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk399       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk338       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk405       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk326       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk721       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk749       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk729       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk356       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk408       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk330       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk394       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk337       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk417       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk651       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk343       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk412       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk322       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk392       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk347       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk418       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk342       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk414       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk400       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk329       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk419       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk327       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk416       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk598       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk344       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk665       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk741       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk331       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk335       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk664       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk348       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk662       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk323       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk393       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk341       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk411       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk596       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk669       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk351       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk404       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk352       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk663       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk334       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk667       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk747       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk660       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk349       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk407       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk720       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk403       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk654       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk661       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk328       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk409       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk336       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk406       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk325       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk396       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk755       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk410       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk726       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk422       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk653       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk564       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk346       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk623       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk353       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk621       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk340       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk622       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk724       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk566       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk652       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk397       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk345       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk401       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk333       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk423       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk725       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk668       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk339       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk395       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk324       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk398       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk722       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk421       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk624       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk286       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk284       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk354       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk285       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk597       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk565       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk420       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk350       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk620       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk387       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk319       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk389       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk317       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk318       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk386       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk316       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk390       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk391       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk320       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk321       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk365       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk376       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk299       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk366       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk385       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk289       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk358       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk287       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk357       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk302       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk312       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk384       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk361       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk359       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk374       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk382       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk292       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk306       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk305       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk362       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk291       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk304       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk370       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk307       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk309       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk381       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk314       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk313       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk363       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk375       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk311       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk360       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk293       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk310       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk378       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk369       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk288       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk296       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk380       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk368       CONNECTION FAILURE
