==== This output can be found in Systems/dx977/os/errpt.txt ====
==== START errpt Tue Jul  7 00:10:21 GST 2015 ====
516A2BC4   0508035115 P H hdisk155       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk173       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk164       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk109       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk111       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk103       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk177       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk107       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk106       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk101       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk174       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk108       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk162       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk85        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk105       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk161       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk159       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk92        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk151       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk86        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk169       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk84        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk98        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk153       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk104       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk88        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk97        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk178       CONNECTION FAILURE
