==== This output can be found in Systems/dx978/os/errpt-d_H-^T_PERM.txt ====
==== START errpt -d H -T PERM Mon Jul  6 23:29:55 GST 2015 ====
516A2BC4   0508024415 P H hdisk426       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk284       CONNECTION FAILURE
516A2BC4   0508024415 P H hdisk355       CONNECTION FAILURE
C62E1EB7   0508024415 P H hdisk426       DISK OPERATION ERROR
C62E1EB7   0508024415 P H hdisk355       DISK OPERATION ERROR
C62E1EB7   0508024415 P H hdisk284       DISK OPERATION ERROR
C62E1EB7   0508024415 P H hdisk286       DISK OPERATION ERROR
516A2BC4   0508013915 P H hdisk429       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk500       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk427       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk498       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk212       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk394       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk268       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk453       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk213       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk395       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk214       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk396       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk215       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk397       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk216       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk398       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk210       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk392       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk217       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk399       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk269       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk454       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk218       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk400       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk219       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk401       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk270       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk455       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk191       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk373       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk220       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk402       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk221       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk403       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk222       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk404       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk223       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk405       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk224       CONNECTION FAILURE
516A2BC4   0508013915 P H hdisk406       CONNECTION FAILURE
