==== This output can be found in Systems/dx978/os/lscfg.txt ====
==== START lscfg Mon Jul  6 23:30:06 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* hdisk129         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L21000000000000  EMC Symmetrix FCP VRAID
* hdisk130         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L22000000000000  EMC Symmetrix FCP VRAID
* hdisk131         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L23000000000000  EMC Symmetrix FCP VRAID
* hdisk132         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L24000000000000  EMC Symmetrix FCP VRAID
* hdisk133         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L25000000000000  EMC Symmetrix FCP VRAID
* hdisk134         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L26000000000000  EMC Symmetrix FCP VRAID
* hdisk135         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L27000000000000  EMC Symmetrix FCP VRAID
* hdisk136         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L28000000000000  EMC Symmetrix FCP VRAID
* hdisk137         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L29000000000000  EMC Symmetrix FCP VRAID
* hdisk138         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L2A000000000000  EMC Symmetrix FCP VRAID
* hdisk139         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L2B000000000000  EMC Symmetrix FCP VRAID
* hdisk140         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L2C000000000000  EMC Symmetrix FCP VRAID
* hdisk141         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L2D000000000000  EMC Symmetrix FCP VRAID
* hdisk142         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L2E000000000000  EMC Symmetrix FCP VRAID
* hdisk143         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L2F000000000000  EMC Symmetrix FCP VRAID
* hdisk144         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L30000000000000  EMC Symmetrix FCP VRAID
* hdisk145         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L31000000000000  EMC Symmetrix FCP VRAID
* hdisk146         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L32000000000000  EMC Symmetrix FCP VRAID
* hdisk147         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L33000000000000  EMC Symmetrix FCP VRAID
* hdisk148         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L34000000000000  EMC Symmetrix FCP VRAID
* hdisk149         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L35000000000000  EMC Symmetrix FCP VRAID
* hdisk150         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L36000000000000  EMC Symmetrix FCP VRAID
* hdisk151         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L37000000000000  EMC Symmetrix FCP VRAID
* hdisk152         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L38000000000000  EMC Symmetrix FCP VRAID
* hdisk153         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L39000000000000  EMC Symmetrix FCP VRAID
* hdisk154         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L3A000000000000  EMC Symmetrix FCP VRAID
* hdisk155         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L3B000000000000  EMC Symmetrix FCP VRAID
* hdisk156         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L3C000000000000  EMC Symmetrix FCP VRAID
* hdisk157         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L3D000000000000  EMC Symmetrix FCP VRAID
* hdisk158         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L3E000000000000  EMC Symmetrix FCP VRAID
* hdisk159         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L3F000000000000  EMC Symmetrix FCP VRAID
* hdisk160         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L40000000000000  EMC Symmetrix FCP VRAID
* hdisk161         U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D508-L41000000000000  EMC Symmetrix FCP VRAID
